ins,ticksize
EUR_USD,1.3
AUD_USD,1.8
GBP_USD,1.9
GBP_JPY,2.7
NZD_USD,2.0
USD_JPY,1.4
USD_CHF,1.6
EUR_CHF,2.4
USD_CAD,2.2
EUR_GBP,2.3
EUR_JPY,2.1
AUD_JPY,2.2
AUD_CAD,2.6
AUD_CHF,3.2
AUD_NZD,3.6
CAD_CHF,3.2
CAD_JPY,2.4
CHF_JPY,2.6
EUR_AUD,2.6
EUR_CAD,2.9
EUR_HUF,63.6
EUR_NOK,36.3
EUR_NZD,4.1
EUR_SEK,35.6
EUR_TRY,29.8
GBP_AUD,4.0
GBP_CAD,4.0
GBP_CHF,3.1
GBP_NZD,5.8
NZD_CAD,4.5
NZD_CHF,4.3
NZD_JPY,2.3
TRY_JPY,4.6
USD_HKD†,6.0
USD_HUF,52.0
USD_ILS^,44.2
USD_MXN,43.0
USD_NOK,30.6
USD_SEK,32.3
USD_TRY,32.0
USD_ZAR,68.9
ZAR_JPY,3.8
