ins,commission
IC,0_2.3e-05_0_2.3e-05_0_0.00345
IF,0_2.3e-05_0_2.3e-05_0_0.00345
IH,0_2.3e-05_0_2.3e-05_0_0.00345
IM,0_2.3e-05_0_2.3e-05_0_0.00345
T,3_0_0_0_0_0
TF,3_0_0_0_0_0
TL,3_0_0_0_0_0
TS,3_0_0_0_0_0

AP,5_0_5_0_20_0
CF,4.3_0_0_0_0_0
CJ,3_0_3_0_15_0
CY,4_0_0_0_0_0
FG,6_0_6_0_6_0
JR,3.0_0_3.0_0_3.0_0
LR,3.0_0_3.0_0_3.0_0
MA,2_0_2_0_10_0
OI,2_0_2_0_2_0
PF,3.0_0_3.0_0_3.0_0
PK,4.0_0_4.0_0_4.0_0
PL,0_0.0001_0_0.0001_0_0.0001
PM,5_0_5_0_5_0
PR,0_0.0005_0_0.0005_0_0
PX,0_0.0001_0_0.0001_0_0.0001
RI,2.5_0_2.5_0_2.5_0
RM,1.5_0_3.0_0_3.0_0
RS,2_0_2_0_2_0
SA,3.5_0_0_0_3.5_0
SF,3_0_0_0_0_0
SH,0_0.0001_0_0.0001_0_0.0001
SM,3_0_0_0_30_0
SR,3_0_0_0_0_0
TA,3_0_0_0_0_0
UR,5_0_5_0_15_0
WH,5_0_5_0_5_0
ZC,30_0_30_0_120_0

a,2_0_2_0_2_0
b,1_0_1_0_1_0
bb,0_0.0001_0_0.0001_0_0.0001
bz,0_0.0001_0_0.0001_0_0.0001
c,1.2_0_1.2_0_1.2_0
cs,1.5_0_1.5_0_1.5_0
eb,3_0_3_0_3_0
eg,3_0_3_0_3_0
fb,0_0.0001_0_0.0001_0_0.0001
i,0_0.0001_0_0.0001_0_0.0002
j,0_0.0001_0_0.0001_0_0.00014
jd,0_0.00015_0_0.00015_0_0.00015
jm,0_0.0001_0_0.0001_0_0.00014
l,1_0_1_0_1_0
lg,0_0.0001_0_0.0001_0_0.0001
lh,0_0.0002_0_0.0002_0_0.0004
m,1.5_0_1.5_0_1.5_0
p,2.5_0_2.5_0_2.5_0
pg,6_0_6_0_6_0
pp,1_0_1_0_1_0
rr,1_0_1_0_1_0
v,1_0_1_0_1_0
y,2.5_0_2.5_0_2.5_0

lc,0_8e-05_0_0_0_0
ps,0_0.0001_0_0.0001_0_0.0001
si,0_0.0001_0_0.0001_0_0.0001

bc,0_0.0001_0_0_0_0
ec,0_1e-05_0_0_0_0
lu,0_0.0001_0_0.0001_0_0.0001
nr,0_0.0002_0_0_0_0
sc,20_0_0_0_0_0

ad,0_1e-04_0_1e-04_0_1e-04
ag,0_1e-05_0_1e-05_0_5e-05
al,3_0_3_0_3_0
ao,0_1e-05_0_0_0_0
au,2_0_0_0_10_0
br,0_1e-05_0_0_0_0
bu,0_1e-05_0_1e-05_0_1e-05
cu,0_5e-05_0_5e-05_0_0.0001
fu,0_1e-05_0_0_0_5e-05
hc,0_1e-05_0_1e-05_0_3e-05
ni,3_0_3_0_15_0
op,0_1e-04_0_1e-04_0_1e-04
pb,0_4e-05_0_0_0_0
rb,0_1e-05_0_1e-05_0_3e-05
ru,3_0_0_0_9_0
sn,3_0_0_0_3_0
sp,0_5e-05_0_0_0_0.00025
ss,2_0_0_0_0_0
wr,4e-05_0_0_0_0_0
zn,3_0_3_0_3_0
